"animal","treatment","TreatmentLong","day 1 body weight (g)","day 2 body weight (g)","day 3 body weight (g)","day 4 body weight (g)","day 5 body weight (g)","day 6 body weight (g)","day 7 body weight (g)","day 8 body weight (g)","body weight gain after 1 days (g)","body weight gain after 2 days (g)","body weight gain after 3 days (g)","body weight gain after 4 days (g)","body weight gain after 5 days (g)","body weight gain after 6 days (g)","body weight gain after 7 days (g)","body weight gain after 1 days (percent)","body weight gain after 2 days (percent)","body weight gain after 3 days (percent)","body weight gain after 4 days (percent)","body weight gain after 5 days (percent)","body weight gain after 6 days (percent)","body weight gain after 7 days (percent)","levator (mg)","tibialis (mg)","gastrocnemius (mg)","quadriceps (mg)","triceps (mg)","heart (mg)","levator (permille)","tibialis (permille)","gastrocnemius (permille)","quadriceps (permille)","triceps (permille)","heart (permille)","fat mass before (g)","lean mass before (g)","total water before (g)","fat mass after (g)","lean mass after (g)","total water after (g)","fat mass before (percent of BW)","lean mass before (percent of BW)","total water before (percent of BW)","fat mass after (percent of BW)","lean mass after (percent of BW)","total water after (percent of BW)","fat mass gain (g)","lean mass gain (g)","total water gain (g)","fat mass gain (percent of BW)","lean mass gain (percent of BW)","total water gain (percent of BW)","fat mass gain (percent)","lean mass gain (percent)","total water gain (percent)","gastrocnemius cathepsin activity (rel.u.)","quadriceps cathepsin activity (rel.u.)","triceps cathepsin activity (rel.u.)","gastrocnemius proteasome activity (rel.u.)","quadriceps proteasome activity (rel.u.)","triceps proteasome activity (rel.u.)","triceps calpain activity (rel.u.)","gastrocnemius calpain activity (rel.u.)","gastrocnemius Ct(Becn1) - Ct(Gapdh)","gastrocnemius Ct(Bnip3) - Ct(Gapdh)","gastrocnemius Ct(Ctsl) - Ct(Gapdh)","gastrocnemius Ct(Ddit4) - Ct(Gapdh)","gastrocnemius Ct(Fbxo32) - Ct(Gapdh)","gastrocnemius Ct(Foxo1) - Ct(Gapdh)","gastrocnemius Ct(Foxo3a) - Ct(Gapdh)","gastrocnemius Ct(Foxo4) - Ct(Gapdh)","gastrocnemius Ct(Igf1) - Ct(Gapdh)","gastrocnemius Ct(Igf1r) - Ct(Gapdh)","gastrocnemius Ct(Klf15) - Ct(Gapdh)","gastrocnemius Ct(Map1lc3b) - Ct(Gapdh)","gastrocnemius Ct(Nr3c1) - Ct(Gapdh)","gastrocnemius Ct(Odc) - Ct(Gapdh)","gastrocnemius Ct(Stk11) - Ct(Gapdh)","gastrocnemius Ct(Trim63) - Ct(Gapdh)","quadriceps Ct(Becn1) - Ct(Gapdh)","quadriceps Ct(Bnip3) - Ct(Gapdh)","quadriceps Ct(Ctsl) - Ct(Gapdh)","quadriceps Ct(Ddit4) - Ct(Gapdh)","quadriceps Ct(Fbxo32) - Ct(Gapdh)","quadriceps Ct(Foxo1) - Ct(Gapdh)","quadriceps Ct(Foxo3a) - Ct(Gapdh)","quadriceps Ct(Foxo4) - Ct(Gapdh)","quadriceps Ct(Igf1) - Ct(Gapdh)","quadriceps Ct(Igf1r) - Ct(Gapdh)","quadriceps Ct(Klf15) - Ct(Gapdh)","quadriceps Ct(Map1lc3b) - Ct(Gapdh)","quadriceps Ct(Nr3c1) - Ct(Gapdh)","quadriceps Ct(Odc) - Ct(Gapdh)","quadriceps Ct(Stk11) - Ct(Gapdh)","quadriceps Ct(Trim63) - Ct(Gapdh)","triceps Ct(Becn1) - Ct(Gapdh)","triceps Ct(Bnip3) - Ct(Gapdh)","triceps Ct(Ctsl) - Ct(Gapdh)","triceps Ct(Ddit4) - Ct(Gapdh)","triceps Ct(Fbxo32) - Ct(Gapdh)","triceps Ct(Foxo1) - Ct(Gapdh)","triceps Ct(Foxo3a) - Ct(Gapdh)","triceps Ct(Foxo4) - Ct(Gapdh)","triceps Ct(Igf1) - Ct(Gapdh)","triceps Ct(Igf1r) - Ct(Gapdh)","triceps Ct(Klf15) - Ct(Gapdh)","triceps Ct(Map1lc3b) - Ct(Gapdh)","triceps Ct(Nr3c1) - Ct(Gapdh)","triceps Ct(Odc) - Ct(Gapdh)","triceps Ct(Stk11) - Ct(Gapdh)","triceps Ct(Trim63) - Ct(Gapdh)","gastrocnemius 4EBP protein (normalized to GAPDH)","gastrocnemius phospho-4EBP protein (normalized to GAPDH)","gastrocnemius phospho-4EBP / total 4EBP","gastrocnemius Akt protein (normalized to GAPDH)","gastrocnemius phospho-Akt-Ser473 (normalized to GAPDH)","gastrocnemius phospho-Akt-Ser473 / total Akt","gastrocnemius hyperphosphorylated Akt (normalized to GAPDH)","gastrocnemius hyperphosphorylated Akt / total Akt","gastrocnemius phospho-eIF2alpha (normalized to GAPDH)","gastrocnemius GR protein (normalized to GAPDH)","gastrocnemius IGF1R protein (normalized to GAPDH)","gastrocnemius phospho-IGF1R (normalized to GAPDH)","gastrocnemius phospho-IGF1R / total IGF1R","gastrocnemius LC3-II (normalized to GAPDH)","gastrocnemius LC3-II / LC-I","gastrocnemius mu-calpain protein (normalized to historical actin)","levator 4EBP protein (normalized to GAPDH)","levator phospho-4EBP (normalized to GAPDH)","levator phospho-4EBP / total 4EBP","levator Akt protein (normalized to GAPDH)","levator phospho-Akt-Ser473 (normalized to GAPDH)","levator phospho-Akt-Ser473 / total Akt","levator eIF3f protein (normalized to GAPDH)","levator GR protein (normalized to GAPDH)","levator IGF1R protein (normalized to GAPDH)","levator phospho-IGF1R (normalized to GAPDH)","levator phospho-IGF1R / total IGF1R","levator total LC3 protein (normalized to GAPDH)","levator LC3-II (normalized to GAPDH)","levator LC3-II / LC-I","levator mu-calpain protein (normalized to GAPDH)","tibialis 4EBP protein (normalized to GAPDH)","tibialis phospho-4EBP (normalized to GAPDH)","tibialis phospho-4EBP / total 4EBP","tibialis Akt protein (normalized to GAPDH)","tibialis phospho-Akt-Ser473 (normalized to GAPDH)","tibialis phospho-Akt-Ser473 / total Akt","tibialis LC3-II (normalized to GAPDH)","tibialis LC3-II / LC-I","tibialis GR protein (normalized to GAPDH)"
"V1","V","Vehicle for 7 day",22.6,23.4,22.8,22.7,24.1,23.2,24,24.1,0.8,0.2,0.1,1.5,0.6,1.4,1.5,3.5398230088,0.8849557522,0.4424778761,6.6371681416,2.6548672566,6.1946902655,6.6371681416,70.9,48.25,117.05,167.8,98.1,97,2.9419087137,2.0020746888,4.856846473,6.9626556017,4.0705394191,4.0248962656,2.794,18.397,15.018,4.882,17.62,12.865,12.3628318584,81.4026548673,66.4513274336,20.2572614108,73.112033195,53.3817427386,2.088,-0.777,-2.153,7.8944295524,-8.2906216722,-13.069584695,16.8893342878,-0.954514323,-3.2399653749,30333,46577,46497,1343,19144,11882,16072,,2.08775,0.26485,5.48295,3.4885,0.74085,5.7783,7.05255,4.4126,6.16595,6.17735,5.68865,2.2734,4.45825,-1.1912,2.9639,-0.6899,5.78745,2.56205,3.84595,4.89,3.80895,6.32755,7.46335,4.4264,10.22405,7.68725,5.07295,1.54065,3.40115,3.10825,4.329,4.8604,4.32105,0.73625,4.56945,4.22115,1.75385,6.1793,7.69075,4.3029,7.6786,6.29425,5.0106,2.5547,3.4315,1.61045,3.62185,0.2858,0.7750171733,0.7305641261,0.9426425004,0.5962971687,0.3827339952,0.6418511027,0.2063206793,0.3460031176,2.1685392546,3.6380607617,0.2749514199,0.2014227778,0.7325758778,2.4351870643,0.8612198044,1.5732607984,2.5723551647,2.0090319742,0.7810087821,0.9080018162,0.6621773968,0.7292688021,0.51929304,0.2405610962,1.4848666071,,,0.1651756196,0.3544593181,0.1889233912,0.260825586,1.9092094843,4.827740161,2.5286592177,1.572824049,0.0860874287,0.0547343034,5.8007628681,0.7493457041,2.8358435719
"V2","V","Vehicle for 7 day",24.7,25.4,24.7,24.9,25.8,25.2,26,26.6,0.7,0,0.2,1.1,0.5,1.3,1.9,2.8340080972,0,0.8097165992,4.4534412955,2.024291498,5.2631578947,7.6923076923,71.8,49.85,112.6,176.1,77.2,135.2,2.6992481203,1.8740601504,4.2330827068,6.6203007519,2.9022556391,5.0827067669,2.941,20.402,14.78,4.531,20.535,14.432,11.9068825911,82.5991902834,59.8380566802,17.0338345865,77.1992481203,54.2556390977,1.59,0.133,-0.348,5.1269519954,-5.3999421631,-5.5824175824,13.3536212173,0.1610185276,-0.5815696888,29709,41498,31236,4903,28324,18479,22399,29961.5,3.652,-0.03415,6.53425,6.95705,1.57135,6.4506,7.88095,4.59505,7.24825,7.0117,6.64335,1.5426,4.5279,0.21415,3.49535,0.74735,5.811,3.0775,4.51255,7.93285,2.99075,6.78675,7.39415,4.88325,9.7268,7.546,5.5878,1.54745,3.08165,2.26125,4.65115,5.2962,4.6366,0.683,4.76455,7.78495,1.7523,6.80575,8.1105,5.23285,7.9533,6.698,5.82955,2.854,3.88835,0.69865,3.56025,1.682,0.8004352554,0.7774747279,0.9713149472,0.5703862723,0.4352180701,0.7630233952,0.1937265264,0.3396409343,2.4873353552,3.0625460187,0.252794301,0.1747653871,0.6913343632,1.1431649779,0.338733144,1.2234131425,2.169121956,1.7611820328,0.8119331548,0.6033116999,0.6693904922,1.1095267874,0.512222481,0.234382806,1.1755254835,,,0.1729145964,0.0477111117,0.0279333286,0.328536704,1.913006884,6.6263490773,3.4638396405,1.6867941878,0.3299976978,0.1956360178,5.9518475856,0.6080840705,4.7600101977
"V3","V","Vehicle for 7 day",24.4,25.2,24.3,24.4,25.4,24.5,24.9,25,0.8,-0.1,0,1,0.1,0.5,0.6,3.2786885246,-0.4098360656,0,4.0983606557,0.4098360656,2.0491803279,2.4590163934,66.5,57.65,100.05,172.8,93.2,106.1,2.66,2.306,4.002,6.912,3.728,4.244,3.404,19.776,14.634,4.631,18.823,17.265,13.9508196721,81.0491803279,59.9754098361,18.524,75.292,69.06,1.227,-0.953,2.631,4.5731803279,-5.7571803279,9.0845901639,8.7951821387,-1.175829288,4.386797868,29199,37472,26953,7223,25552,15252,17890,,5.40335,1.53495,7.01865,6.08955,2.215,7.0473,8.6395,5.76905,6.8846,8.37485,7.754,4.16625,5.9045,0.8245,4.66335,1.3312,5.04715,2.44575,4.08595,7.3723,3.2051,5.57795,7.25595,4.6158,9.71795,7.9553,5.4968,1.60455,0.92745,2.66995,4.09005,4.9754,5.24685,-0.353,5.2813,8.6873,2.363,6.1268,8.73115,5.5533,8.36145,7.1781,5.54735,2.86265,5.26695,1.3832,4.0577,1.27,,1.0256889281,,,0.5057099628,,0.3182542713,,1.5823169114,1.9373705456,,,,0.9124683356,0.3768171138,1.1863817767,1.8730077723,1.7295324008,0.9233984111,0.4898613958,1.2464225689,2.5444392629,0.5387388663,0.3744810379,0.7673074113,,,0.2129386066,0.6419045472,0.1985400941,0.2520217141,2.4883576357,3.5321358629,1.4194647153,1.9458814457,0.7663739281,0.3938441007,3.4062067799,0.5011056766,2.6680716508
"V4","V","Vehicle for 7 day",25.8,26.4,26.2,26.2,26.7,26.7,27.6,27.8,0.6,0.4,0.4,0.9,0.9,1.8,2,2.3255813953,1.5503875969,1.5503875969,3.488372093,3.488372093,6.976744186,7.7519379845,66.9,53.4,128.85,185.1,114.75,136.9,2.4064748201,1.9208633094,4.6348920863,6.6582733813,4.1276978417,4.9244604317,2.612,22.355,17.796,4.584,21.866,15.937,10.1240310078,86.6472868217,68.976744186,16.4892086331,78.654676259,57.3273381295,1.972,-0.489,-1.859,6.3651776253,-7.9926105627,-11.6494060566,19.4784073507,-0.5643569671,-2.695111261,31810,32081,,4189,10492,11298,14610,26091.5,4.26025,-1.02435,5.3316,7.0731,3.13065,7.37555,8.27725,5.84875,6.38095,6.8034,7.1218,2.9751,3.52505,0.0678,2.808,0.236,6.00525,3.0674,4.22305,7.4996,4.2992,8.01125,8.4869,6.0131,9.0238,8.31995,6.59125,2.2011,3.65735,2.0838,5.18815,5.31435,5.1463,-0.26785,5.1953,7.00125,3.14745,8.469,9.08075,5.86055,7.77485,7.3448,6.89585,3.1564,4.89295,0.6912,4.17965,1.3204,,0.980092992,,,0.1584836149,,0.2769856143,,1.4778757242,1.9178192389,,,,0.6998688321,0.4298749151,1.5704098372,1.5339942983,1.3455700645,0.8771675788,0.3809000308,0.2535659081,0.6657019889,0.6101356431,0.226600204,0.9097519286,0.1453579431,0.1597775598,0.2515576655,1.0967529013,0.3062186655,0.301462746,,,,,,,4.093238917,0.5507112177,3.2190936969
"V5","V","Vehicle for 7 day",23.8,24,23.4,23.9,24.5,24,25,25.6,0.2,-0.4,0.1,0.7,0.2,1.2,1.8,0.8403361345,-1.6806722689,0.4201680672,2.9411764706,0.8403361345,5.0420168067,7.5630252101,72.2,49.7,113.15,156.45,88.45,164.5,2.8203125,1.94140625,4.419921875,6.111328125,3.455078125,6.42578125,3.186,19.184,15.036,4.409,19.472,17.519,13.3865546218,80.6050420168,63.1764705882,17.22265625,76.0625,68.43359375,1.223,0.288,2.483,3.8361016282,-4.5425420168,5.2571231618,9.1360326428,0.3572977481,3.9302607076,33346,40326,37025,2173,16009,11788,,38790.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4630769036,1.4650796844,1.4206439905,0.969670118,0.3713856123,0.6089336332,1.6396263427,0.4397451552,0.2582420155,0.7437383198,0.1707124656,0.2295329702,0.1878960095,1.3353638037,0.6804308254,0.2948715506,,,,,,,3.1946883179,0.4649015223,1.825970758
"V6","V","Vehicle for 7 day",23.9,24.1,23.9,23.8,24.1,23.8,24.5,25,0.2,0,-0.1,0.2,-0.1,0.6,1.1,0.8368200837,0,-0.4184100418,0.8368200837,-0.4184100418,2.510460251,4.6025104603,64.5,55.5,130.65,164.35,93.05,148.6,2.58,2.22,5.226,6.574,3.722,5.944,3.829,18.88,17.165,4.748,18.717,13.643,16.0209205021,78.9958158996,71.820083682,18.992,74.868,54.572,0.919,-0.163,-3.522,2.9710794979,-4.1278158996,-17.248083682,5.7362496735,-0.2063400424,-4.903920769,30149,36253,38896,3232,15721,15194,18737.5,28142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.587245656,1.4377581688,1.3356379979,0.9289726373,0.3594735383,0.3220158555,0.8957984977,0.4939855789,0.269267991,0.8735438645,0.0260214771,0.0297884034,0.1996354017,0.5260028181,0.2015681867,0.3184232203,,,,,,,3.9209310102,0.5144780236,2.6606270477
"T1","T","0.7 mg/day Testo for 7 day",24,24.9,25,25.5,26.8,25.8,26.6,27,0.9,1,1.5,2.8,1.8,2.6,3,3.75,4.1666666667,6.25,11.6666666667,7.5,10.8333333333,12.5,78.1,58.7,111.3,171.45,88.3,100.3,2.8925925926,2.1740740741,4.1222222222,6.35,3.2703703704,3.7148148148,2.856,19.543,14.176,4.497,21.242,14.962,11.9,81.4291666667,59.0666666667,16.6555555556,78.6740740741,55.4148148148,1.641,1.699,0.786,4.7555555556,-2.7550925926,-3.6518518519,13.7899159664,2.0864759761,1.3306997743,13449,27920,19784,3754,21507,10194,13393,37907.5,3.2358,1.067,4.77715,5.36215,-0.5868,5.88515,6.86955,2.18425,5.8938,5.07065,6.085,1.26955,3.798,-2.02775,2.35715,-0.29025,6.022,2.77585,4.61825,7.4489,3.4962,7.1609,7.68495,5.01165,9.79305,7.9578,6.7012,1.85145,3.41275,0.99545,4.7859,5.19365,5.4545,1.08115,5.2541,8.5629,3.5687,8.1651,10.1022,5.98775,7.7213,8.4094,8.4215,4.20335,5.6034,0.98435,4.8272,2.5077,0.7401590066,0.8974117283,1.2124580263,0.6864472787,0.365931713,0.6413820433,0.0872571113,0.1529387653,1.7968234633,2.4616647437,0.2953110209,0.0875682548,0.2965289089,2.2446476901,0.8701911935,1.0908393411,2.1431416453,1.6391243225,0.7648231399,0.7347314805,0.3443576116,0.4686849832,0.223849263,0.2203698842,1.2240965838,0.1112511392,0.0908842821,0.1668872382,0.4863550832,0.2039780909,0.3873414194,1.4109079131,3.5609783756,2.5238914196,0.9162991663,0.0251013929,0.0273943203,1.9557628062,0.6405567892,1.4228933446
"T2","T","0.7 mg/day Testo for 7 day",24.6,25.3,24.9,25.4,26.1,25.9,27.8,27.2,0.7,0.3,0.8,1.5,1.3,3.2,2.6,2.8455284553,1.2195121951,3.2520325203,6.0975609756,5.2845528455,13.0081300813,10.5691056911,78.9,55.55,119.85,173,109.7,111.6,2.9007352941,2.0422794118,4.40625,6.3602941176,4.0330882353,4.1029411765,3.074,20.213,15.624,5.077,20.889,17.294,12.4959349593,82.1666666667,63.512195122,18.6654411765,76.7977941176,63.5808823529,2.003,0.676,1.67,6.1695062171,-5.368872549,0.068687231,16.0292127521,0.8227180527,2.6294162826,27396,26376,26459,6709,43660,18736,16022,32534.5,2.15955,0.0845,3.78205,3.5689,-0.0959,5.5359,6.56945,3.75955,4.19755,5.36785,5.74545,0.9092,2.0289,-2.66245,3.06915,-1.32425,6.7412,3.00255,5.05535,7.266,3.64875,7.96355,8.2434,4.96965,9.8291,8.50465,7.204,2.41965,3.3903,2.0914,5.5638,5.56295,5.43475,-0.0537,5.4873,8.1073,2.67585,8.4444,10.15255,6.71045,7.79895,8.3105,8.0959,3.8442,4.42505,1.5579,5.05205,2.45155,0.7807409847,0.6554124845,0.8394749313,0.6243395087,0.2641026726,0.4631455496,0.1676684583,0.2940329968,1.5530699955,2.5226004331,0.2694883287,0.1280575296,0.4751876648,1.8793218916,1.276159609,1.0650253922,2.8159464934,1.4424409472,0.512240183,0.8007101684,0.1908074079,0.2382977205,0.4908843355,0.2295313277,1.3263076329,,,0.1553667812,0.4452520014,0.1691642803,0.4330527796,1.4101771992,3.8055066235,2.6986017259,0.9058206575,0.0359354476,0.0396717024,5.8081803754,0.7097145421,2.7294299716
"T3","T","0.7 mg/day Testo for 7 day",22.5,22.5,22.8,23.2,24,23.6,24.6,24.8,0,0.3,0.7,1.5,1.1,2.1,2.3,0,1.3333333333,3.1111111111,6.6666666667,4.8888888889,9.3333333333,10.2222222222,89.8,49.65,128.55,169.65,88.7,100.9,3.6209677419,2.002016129,5.1834677419,6.8407258065,3.5766129032,4.0685483871,2.827,18.298,16.266,4.016,19.524,14.386,12.5644444444,81.3244444444,72.2933333333,16.1935483871,78.7258064516,58.0080645161,1.189,1.226,-1.88,3.6291039427,-2.5986379928,-14.2852688172,9.4632118854,1.5075418078,-2.6005164146,26121,31277,26582,3568,32489,11158,13253,31210.5,2.11835,-1.73685,4.42805,4.13535,0.47855,5.19845,6.6632,3.33455,4.6637,5.7475,6.1622,1.7386,2.25265,-1.7051,2.80985,-0.483,7.0737,3.53165,3.88585,8.0199,4.58165,7.5113,8.8545,5.50615,8.7624,9.23765,7.86245,2.47985,4.18445,2.7172,5.92885,6.07705,5.68715,2.6408,5.40035,9.0262,3.0744,7.3442,10.15035,6.30285,6.4649,8.6501,7.9883,4.0555,4.808,1.7633,4.45475,1.8739,,0.8826743671,,,0.2554479753,,0.2080315372,,1.9735032651,2.8620838437,,,,1.3467582956,0.5120803821,1.0963386535,2.7483809956,1.4399509165,0.523926966,0.8254207646,0.2627598581,0.3183344415,0.14963134,0.2196870823,1.346383467,0.0878946467,0.0652820306,0.2037670439,,,0.2592811033,1.4216985673,9.454483281,6.6501321016,1.036618507,0.0591236114,0.0570350722,3.0221584083,0.3693341671,2.7430791947
"T4","T","0.7 mg/day Testo for 7 day",24.6,24.9,25.1,25,25.7,25.6,26.6,27.1,0.3,0.5,0.4,1.1,1,2,2.5,1.2195121951,2.0325203252,1.6260162602,4.4715447154,4.0650406504,8.1300813008,10.162601626,80.8,47,140.8,170.45,108.55,138.4,2.9815498155,1.7343173432,5.1955719557,6.2896678967,4.0055350554,5.1070110701,3.244,20.337,14.81,4.228,21.747,16.177,13.1869918699,82.6707317073,60.2032520325,15.6014760148,80.2472324723,59.6937269373,0.984,1.41,1.367,2.4144841448,-2.423499235,-0.5095250953,7.4618988903,1.7055612922,2.2706414585,24705,29527,15946,3209,34948,14108,9469,30012.5,1.7295,-3.85285,3.3447,4.27,0.8286,5.1792,5.97415,3.2489,4.3733,5.3303,5.7321,1.44185,1.1142,-1.3453,2.05145,0.49225,5.85385,3.08545,4.18495,7.35025,4.84595,7.164,7.94865,5.29745,9.0991,8.34285,7.0735,2.42945,3.60845,1.75935,5.04495,6.02685,5.68835,1.6189,5.3195,8.50685,2.91955,7.864,9.6154,5.8916,6.5795,7.866,8.2307,3.5935,3.70755,0.2719,4.1445,1.4887,,1.2631833797,,,0.3217387751,,0.2606316512,,1.4533225516,1.9577946058,,,,0.6437041648,0.4961206492,1.4670187094,0.9730108893,1.216581277,1.2503264767,0.3202770565,0.2851192003,0.8902267413,0.4905559482,0.2135230598,0.4463921643,,,0.1572551976,0.3773705461,0.1622077037,0.3165477198,,,,,,,3.1851566752,0.3800715827,2.7640805211
