"treatment","TreatmentLong","maximum","mean","median"
"V","Vehicle",26.30589,14.31678,12
"V","Vehicle",24.73863,18.45959,19.69772
"V","Vehicle",46.51881,24.41186,24
"V","Vehicle",38,27.30437,26.94313
"V","Vehicle",44,27.70537,26.07681
"V","Vehicle",19.69772,11.95092,10.77033
"V","Vehicle",16.97056,12.20605,11.6619
"V","Vehicle",28.63564,18.3338,17.14633
"V","Vehicle",22,18.39416,20
"V","Vehicle",62.28965,37.80701,37.36308
"V","Vehicle",22,15.61904,16
"V","Vehicle",24,14.73453,14
"V","Vehicle",34,31.91504,34
"V","Vehicle",32,26.84167,30.67746
"V","Vehicle",25.05993,17.30062,17.88854
"V","Vehicle",18.43909,12.89706,12.64911
"V","Vehicle",32.06244,24.06886,22.80351
"V","Vehicle",36.76955,22.51013,22.09072
"V","Vehicle",27.85678,17.56456,20
"V","Vehicle",11.31371,7.95649,7.2111
"V","Vehicle",30.46309,21.64178,20.88061
"V","Vehicle",20.88061,13.93633,14
"V","Vehicle",30.52868,20.74743,20.59126
"V","Vehicle",10.19804,7.41507,7.2111
"V","Vehicle",17.88854,12.61738,10
"V","Vehicle",23.4094,13.77581,14
"V","Vehicle",23.4094,19.63027,19.69772
"V","Vehicle",42.42641,30.39744,31.241
"V","Vehicle",16,12.36828,12
"V","Vehicle",18.11077,12.13008,10
"V","Vehicle",34.17601,27.48679,27.85678
"V","Vehicle",28.07134,24.46242,27.52986
"V","Vehicle",17.08801,12.03255,12.64911
"V","Vehicle",39.44617,25.95329,25.29822
"V","Vehicle",30,22.3758,20.59126
"V","Vehicle",52.80151,26.5419,28.70235
"V","Vehicle",28,24.33916,24
"V","Vehicle",17.88854,13.90931,13.41641
"V","Vehicle",32.55764,27.89806,26.30589
"V","Vehicle",34,26.80628,34
"V","Vehicle",26,19.28336,19.69772
"V","Vehicle",41.76123,24.57837,22.09072
"V","Vehicle",34.17601,26.07339,25.29822
"V","Vehicle",38,21.67655,14.4222
"V","Vehicle",20.88061,13.89175,14
"V","Vehicle",18.43909,12.54165,12.08276
"V","Vehicle",46.69047,36.15676,33.94112
"V","Vehicle",27.20294,12.79781,10.77033
"V","Vehicle",48,33.59134,44.09502
"V","Vehicle",22.36068,17.31529,17.88854
"V","Vehicle",16.49242,9.9037,8.94427
"V","Vehicle",21.26029,15.25748,14.14214
"V","Vehicle",32,28.25517,28.63564
"V","Vehicle",53.36666,48.642,50.59644
"V","Vehicle",16.12452,10.9111,10.48418
"V","Vehicle",18.86796,10.27985,8.24621
"V","Vehicle",39.44617,22.59511,19.69772
"V","Vehicle",16,14.61282,15.81025
"V","Vehicle",14.14214,13.0875,13.41641
"V","Vehicle",17.88854,14.96021,15.23155
"V","Vehicle",16.12452,8.44992,8
"V","Vehicle",18.43909,13.55746,13.41641
"V","Vehicle",41.03657,32.091,30.52868
"V","Vehicle",33.10589,23.89498,24.41311
"V","Vehicle",71.55418,53.32409,54.16615
"V","Vehicle",20,14.68791,14
"V","Vehicle",29.52965,24.41029,24
"V","Vehicle",52.80151,40.06676,39.29377
"V","Vehicle",17.08801,10.75941,10
"V","Vehicle",12.16553,11.52164,12
"V","Vehicle",22.36068,16.71175,15.23155
"V","Vehicle",16,12.41237,12.16553
"V","Vehicle",32.55764,20.31004,22.36068
"V","Vehicle",20,15.40493,16.544
"V","Vehicle",30.46309,20.17831,20.39608
"V","Vehicle",18.11077,12.23145,12.16553
"V","Vehicle",16,13.79525,14
"V","Vehicle",41.18252,31.16087,31.62278
"V","Vehicle",20.88061,14.95191,14.56022
"V","Vehicle",15.23155,9.89968,8.94427
"V","Vehicle",27.20294,19.38094,19.69772
"V","Vehicle",15.23155,9.56136,8.36575
"V","Vehicle",28.84441,14.75859,12.64911
"V","Vehicle",18.43909,12.78766,12.80625
"V","Vehicle",21.26029,14.43861,13.68323
"V","Vehicle",27.20294,16.39575,15.23155
"V","Vehicle",35.44009,33.67471,33.52611
"V","Vehicle",24.73863,20.41196,19.79899
"V","Vehicle",26,18.78824,18.97367
"V","Vehicle",21.54066,18.0968,18
"V","Vehicle",31.241,20.60537,20.19513
"V","Vehicle",17.08801,11.77384,12.32456
"V","Vehicle",46.8188,29.63372,28.28427
"V","Vehicle",19.69772,16.23256,17.88854
"V","Vehicle",28.28427,27.53646,28.28427
"V","Vehicle",42.37924,23.5863,20
"V","Vehicle",22.80351,17.04756,17.88854
"V","Vehicle",42.42641,29.31471,31.30495
"V","Vehicle",14.14214,10.73425,10
"V","Vehicle",17.88854,15.38597,14.56022
"V","Vehicle",24.33105,11.97594,10.77033
"V","Vehicle",43.08132,21.39868,19.79899
"V","Vehicle",52.34501,42.72913,44.31253
"V","Vehicle",15.23155,13.52971,13.11133
"V","Vehicle",13.41641,9.75575,10
"V","Vehicle",30.59412,22.20276,22.36068
"V","Vehicle",24.73863,19.70489,22
"V","Vehicle",50.9902,36.76644,39.29377
"V","Vehicle",34,27.56335,28.42534
"V","Vehicle",34,27.9804,30.46309
"V","Vehicle",31.1127,19.53098,18.86796
"V","Vehicle",16.12452,14.70143,15.23155
"V","Vehicle",28.28427,15.46773,12.80625
"V","Vehicle",38.47077,29.30398,29.32504
"V","Vehicle",58.30952,39.45584,38.20995
"V","Vehicle",24,19.42401,18.43909
"V","Vehicle",20.59126,13.74662,12.64911
"V","Vehicle",35.38361,24.79975,28.84441
"V","Vehicle",22.80351,17.93878,18.27493
"V","Vehicle",19.79899,10.6341,10
"V","Vehicle",27.85678,20.78425,19.74835
"V","Vehicle",15.6205,13.09722,12.64911
"V","Vehicle",42.04759,22.65612,20.39608
"V","Vehicle",24.73863,18.05888,18
"V","Vehicle",20.09975,14.60698,15.31728
"V","Vehicle",46.69047,37.13936,32.03122
"V","Vehicle",35.77709,23.74819,22.62742
"V","Vehicle",24.41311,18.14207,19.69772
"V","Vehicle",21.54066,16.39728,14.56022
"V","Vehicle",25.29822,18.41855,17.88854
"V","Vehicle",20,12.21586,12
"V","Vehicle",18,14.87516,16
"V","Vehicle",24.16609,20.83177,20.39608
"V","Vehicle",32.98484,28.55156,29.73214
"V","Vehicle",42.19004,24.86194,24.16609
"V","Vehicle",20,16.39104,17.88854
"V","Vehicle",41.76123,36.88493,40
"V","Vehicle",20,13.47898,13.41641
"V","Vehicle",24,18.04051,18
"V","Vehicle",22.80351,16.62714,17.88854
"V","Vehicle",14.56022,12.41282,12.16553
"V","Vehicle",29.12044,21.32692,22
"V","Vehicle",22.80351,15.30682,16
"V","Vehicle",24,14.90464,13.41641
"V","Vehicle",24.16609,20.64105,22.58209
"V","Vehicle",28.63564,22.25111,21.54066
"V","Vehicle",11.6619,10.20734,10
"V","Vehicle",35.60899,27.23403,30
"V","Vehicle",70.71068,54.57804,53.45987
"V","Vehicle",28.28427,26.49261,27.20294
"V","Vehicle",18.97367,16.62888,16.49242
"V","Vehicle",16.12452,9.46243,8.48528
"V","Vehicle",31.04835,27.72286,27.85678
"V","Vehicle",34,24.70664,26
"V","Vehicle",24,22.80133,24
"V","Vehicle",28.28427,20.42201,20.59126
"V","Vehicle",30.59412,12.76743,11.6619
"V","Vehicle",32.24903,22.62498,21.67551
"V","Vehicle",29.12044,21.08952,26
"V","Vehicle",25.29822,17.24783,18
"V","Vehicle",27.20294,18.12225,17.88854
"V","Vehicle",17.08801,11.51333,10.77033
"V","Vehicle",21.26029,15.38599,15.6205
"V","Vehicle",20,16.64998,16
"V","Vehicle",26,21.25609,24
"V","Vehicle",10,8.36869,8.48528
"V","Vehicle",16.12452,10.23387,10
"V","Vehicle",42.37924,30.6353,29.73214
"V","Vehicle",94,62.86076,68.46897
"V","Vehicle",32.80244,23.58792,23.32381
"V","Vehicle",37.57659,21.25766,21.26029
"V","Vehicle",26.07681,17.89105,16.97056
"V","Vehicle",22.80351,18.39053,20
"V","Vehicle",22.80351,14.46175,15.23155
"V","Vehicle",36.76955,26.10054,28.84441
"V","Vehicle",16.12452,11.94603,11.6619
"V","Vehicle",30.52868,23.43525,25.6125
"V","Vehicle",18.43909,15.58927,16.49242
"V","Vehicle",22.36068,12.63541,10
"V","Vehicle",31.62278,19.27021,18.18034
"V","Vehicle",23.32381,13.44477,12.80625
"V","Vehicle",32.31099,20.9455,18
"V","Vehicle",24.08319,14.93412,12.64911
"V","Vehicle",24.08319,19.90772,19.79899
"V","Vehicle",24.33105,18.08861,18
"V","Vehicle",40,30.51895,34.4093
"V","Vehicle",33.52611,24.69014,28.35349
"V","Vehicle",35.60899,23.01589,23.3666
"V","Vehicle",28.63564,14.00447,10.77033
"V","Vehicle",21.54066,13.28258,12.08276
"V","Vehicle",34,20.62047,18.97367
"V","Vehicle",24.16609,18.56501,18
"V","Vehicle",20,11.22453,10.19804
"V","Vehicle",26.30589,19.10579,20.96837
"V","Vehicle",37.94733,27.22648,26.68333
"V","Vehicle",17.88854,11.19065,10.19804
"V","Vehicle",74.24284,35.65638,23.32381
"V","Vehicle",23.32381,14.54317,12.64911
"V","Vehicle",21.54066,13.57635,12.80625
"V","Vehicle",31.04835,21.71992,22.09072
"V","Vehicle",22.80351,18.58176,20.39608
"V","Vehicle",14.4222,9.38758,8.94427
"V","Vehicle",24,11.44992,8.94427
"V","Vehicle",29.12044,14.38151,8.94427
"V","Vehicle",16.49242,12.28608,11.6619
"V","Vehicle",34.52535,27.7197,28.63564
"V","Vehicle",13.41641,9.72657,10
"V","Vehicle",22.36068,20.70176,20.09975
"V","Vehicle",20,12.93552,11.6619
"V","Vehicle",28.28427,21.2182,21.63331
"V","Vehicle",20.88061,13.78727,13.41641
"V","Vehicle",18.43909,11.35812,10
"V","Vehicle",19.79899,12.98758,12.64911
"V","Vehicle",44.04543,32.90438,32.98484
"V","Vehicle",40,31.46895,32.40334
"V","Vehicle",28.63564,22.02654,22.36068
"V","Vehicle",31.04835,21.88277,22
"V","Vehicle",22.80351,15.07147,14.4222
"V","Vehicle",27.85678,18.4992,21.54066
"V","Vehicle",48.82622,33.41112,32.55764
"V","Vehicle",32.24903,20.95347,20
"V","Vehicle",21.63331,14.15528,13.41641
"V","Vehicle",24,21.44671,21.54066
"V","Vehicle",26.30589,17.42136,17.88854
"V","Vehicle",22.62742,16.88901,16.49242
"V","Vehicle",24.33105,17.34184,17.08801
"V","Vehicle",15.23155,8.6217,7.2111
"V","Vehicle",22,13.66486,12.32456
"V","Vehicle",22.62742,14.92664,15.23155
"V","Vehicle",16,11.95932,12
"V","Vehicle",15.6205,9.53118,10
"V","Vehicle",17.88854,11.25975,10
"V","Vehicle",27.20294,23.45503,24.16609
"V","Vehicle",19.69772,15.67887,18
"V","Vehicle",26.68333,19.8418,18.05539
"V","Vehicle",20,15.94016,16
"V","Vehicle",20,11.38985,10
"V","Vehicle",20.88061,15.44697,16
"V","Vehicle",17.08801,10.43176,10
"V","Vehicle",18,13.59579,14.14214
"V","Vehicle",83.45058,57.31572,55.4617
"V","Vehicle",28.63564,17.73933,17.08801
"V","Vehicle",28,13.74403,12
"V","Vehicle",29.12044,16.12114,14.14214
"V","Vehicle",47.53946,33.02997,33.25548
"V","Vehicle",29.12044,19.08975,18.21954
"V","Vehicle",36.71512,24.1165,23.4094
"V","Vehicle",26.83282,16.59262,18.97367
"V","Vehicle",56,47.53597,48.70318
"V","Vehicle",28.63564,22.60372,22.36068
"V","Vehicle",27.20294,15.91109,14.56022
"V","Vehicle",15.6205,13.18149,14
"V","Vehicle",20,16.71166,17.08801
"V","Vehicle",14.14214,11.04602,11.31371
"V","Vehicle",40.49691,26.70217,26.68333
"V","Vehicle",18,14.56416,16
"V","Vehicle",28.63564,25.63107,26
"V","Vehicle",26.83282,17.84223,18.43909
"V","Vehicle",27.20294,11.28252,10
"V","Vehicle",19.69772,15.37095,16.12452
"V","Vehicle",20.59126,16.18395,16.12452
"V","Vehicle",22.09072,17.5752,19.33569
"V","Vehicle",12,11.04103,12
"V","Vehicle",71.61005,36.29931,31.04835
"V","Vehicle",18.43909,14.90277,14.4222
"V","Vehicle",18,12.5246,12
"V","Vehicle",36,26.15783,28.28427
"V","Vehicle",29.12044,20.88693,22.36068
"V","Vehicle",33.52611,23.46188,23.4094
"V","Vehicle",25.6125,19.4741,19.69772
"V","Vehicle",16,11.54109,10.77033
"V","Vehicle",22.36068,16.77091,17.08801
"V","Vehicle",28.63564,21.42414,22.36068
"V","Vehicle",20,15.67806,16.49242
"V","Vehicle",23.32381,16.84018,16.12452
"V","Vehicle",20,14.34307,14.14214
"V","Vehicle",16.49242,11.6013,11.6619
"V","Vehicle",13.41641,8.88251,8.24621
"V","Vehicle",28.07134,21.19566,20.88061
"V","Vehicle",16.12452,12.23998,12
"V","Vehicle",20.39608,16.61263,16.73149
"V","Vehicle",14.56022,11.17149,10.77033
"V","Vehicle",18,13.7916,14
"V","Vehicle",22,17.94247,18.11077
"V","Vehicle",18,10.74996,10
"V","Vehicle",24.16609,16.65697,18
"V","Vehicle",10,7.7926,8
"V","Vehicle",26,19.27261,18.43909
"V","Vehicle",30.06659,23.05098,24.0416
"V","Vehicle",12.16553,7.91846,7.2111
"V","Vehicle",14,10.80193,10.19804
"V","Vehicle",19.69772,13.8486,14
"V","Vehicle",52.80151,22.40122,13.41641
"V","Vehicle",18.97367,13.3979,12
"V","Vehicle",22.36068,18.2763,18.86796
"V","Vehicle",22,18.27315,18.97367
"V","Vehicle",23.32381,13.71064,14
"V","Vehicle",29.73214,19.17366,16.06226
"V","Vehicle",34,26.01563,26
"V","Vehicle",32,24.71803,24.73863
"V","Vehicle",39.29377,25.85361,22.80351
"V","Vehicle",37.94733,24.71035,24
"V","Vehicle",20,17.45381,20
"V","Vehicle",38.41875,28.7907,26.68333
"V","Vehicle",24.73863,19.28262,20
"V","Vehicle",39.29377,20.49464,14.14214
"V","Vehicle",26.83282,20.40579,18
"V","Vehicle",22.80351,15.50656,18.11077
"V","Vehicle",42,25.69599,23.7035
"V","Vehicle",21.54066,18.56237,18
"V","Vehicle",28,21.93118,24
"V","Vehicle",24.08319,14.3323,14
"V","Vehicle",30,19.13222,16
"V","Vehicle",22.09072,17.50038,18.97367
"V","Vehicle",20,13.32092,12.79097
"V","Vehicle",20,14.45041,17.08801
"V","Vehicle",24.73863,18.03015,18
"V","Vehicle",18.43909,11.96293,12
"V","Vehicle",42.04759,23.07788,20.44031
"V","Vehicle",25.05993,18.93503,18
"V","Vehicle",28.07134,16.61099,16
"V","Vehicle",24,18.96959,18.11077
"V","Vehicle",36.05551,25.57803,25.29822
"V","Vehicle",10,7.65821,8
"V","Vehicle",17.88854,10.18699,8
"V","Vehicle",55.71355,47.7132,48
"V","Vehicle",16.12452,9.81582,8.94427
"V","Vehicle",12,10.2,10
"V","Vehicle",16,10.66094,12
"V","Vehicle",22,15.85343,16
"V","Vehicle",18,12.56781,12
"V","Vehicle",32.24903,23.01758,22.80351
"V","Vehicle",14.4222,10.24689,10
"V","Vehicle",34.52535,29.65159,30
"V","Vehicle",34.17601,32.41255,31.9359
"V","Vehicle",21.54066,15.44233,14.14214
"V","Vehicle",18.43909,18.08233,18
"V","Vehicle",32,24.71139,24
"V","Vehicle",31.04835,20.833,21.54066
"V","Vehicle",26.07681,15.37614,12.16553
"V","Vehicle",25.05993,17.49261,17.08801
"V","Vehicle",26.83282,21.07147,22.36068
"V","Vehicle",14.14214,11.39385,12.15551
"V","Vehicle",11.6619,9.48524,10
"V","Vehicle",24.08319,17.82573,18
"V","Vehicle",17.88854,12.00306,12
"V","Vehicle",12.16553,9.60903,10
"V","Vehicle",22.80351,15.70474,16.12452
"V","Vehicle",18.43909,10.75113,10
"V","Vehicle",28.63564,19.94023,20.88061
"V","Vehicle",12,9.67341,10
"V","Vehicle",42,25.43896,20
"V","Vehicle",14,13.11978,13.41641
"V","Vehicle",22,18.93295,18.43909
"V","Vehicle",22,19.51548,19.69772
"V","Vehicle",22,19.14113,20.25716
"V","Vehicle",18.11077,14.79596,14
"V","Vehicle",40.49691,20.74189,16
"V","Vehicle",26.68333,19.05653,21.44031
"V","Vehicle",22.09072,14.24434,14.07107
"V","Vehicle",43.86343,38.93971,41.03657
"V","Vehicle",27.85678,18.6462,18
"V","Vehicle",23.4094,14.08773,12.64911
"V","Vehicle",25.45584,19.61736,20.92578
"V","Vehicle",21.63331,13.58444,12.64911
"V","Vehicle",17.88854,12.72419,12.16553
"V","Vehicle",36.05551,27.5001,27.85678
"V","Vehicle",17.20465,13.98328,13.47419
"V","Vehicle",29.52965,16.25326,15.23155
"V","Vehicle",26,22.18514,22.09072
"V","Vehicle",16,13.01035,14
"V","Vehicle",16.12452,11.73468,11.31371
"V","Vehicle",32.24903,26.67505,26
"V","Vehicle",38.47077,24.94716,24.41311
"V","Vehicle",30.06659,26.17446,27.85678
"V","Vehicle",20.88061,11.46714,10
"V","Vehicle",24,15.18761,14
"V","Vehicle",22.62742,17.97519,18.43909
"V","Vehicle",26.68333,22.91099,24
"V","Vehicle",25.05993,18.35386,18.11077
"V","Vehicle",29.73214,25.18538,25.05993
"V","Vehicle",50.11986,29.25616,28.45996
"V","Vehicle",33.52611,23.51751,24.73863
"V","Vehicle",24,21.67874,22
"V","Vehicle",20,11.31533,7.2111
"V","Vehicle",42.42641,22.40349,18
"V","Vehicle",19.69772,14.0382,14.56022
"V","Vehicle",36.05551,27.5039,29.73214
"V","Vehicle",54.58937,42.32961,42.75512
"V","Vehicle",26,22.51267,22.09072
"V","Vehicle",28.63564,25.74688,26
"V","Vehicle",22.36068,16.39907,17.08801
"V","Vehicle",46.17358,38.01986,39.29377
"V","Vehicle",38.62642,27.6407,27.78489
"V","Vehicle",14.56022,9.02835,8.24621
"V","Vehicle",39.39543,22.8517,21.63331
"V","Vehicle",22.09072,13.35276,10.77033
"V","Vehicle",16.12452,10.94778,10.77033
"V","Vehicle",20.88061,16.5085,17.08801
"V","Vehicle",14.14214,10.86837,12
"V","Vehicle",25.45584,16.91189,14.14214
"V","Vehicle",16.49242,10.20305,10
"V","Vehicle",35.44009,27.60581,28.63564
"V","Vehicle",17.88854,14.86139,14.89588
"V","Vehicle",28.07134,19.05681,19.69772
"V","Vehicle",17.08801,13.88806,14
"V","Vehicle",37.36308,30.78157,32.24903
"V","Vehicle",20,17.13588,16.49242
"V","Vehicle",18.97367,13.21063,13.41641
"V","Vehicle",34,25.98336,26
"V","Vehicle",17.88854,11.21483,10.48418
"V","Vehicle",20.88061,18.56445,18.70638
"V","Vehicle",22.36068,12.61247,10
"V","Vehicle",51.92302,24.93849,24
"V","Vehicle",19.69772,11.42355,10.77033
"V","Vehicle",31.04835,22.5433,23.32381
"V","Vehicle",41.23106,17.10876,16.49242
"V","Vehicle",27.20294,22.91977,23.4094
"V","Vehicle",30.59412,21.0721,18
"V","Vehicle",22.09072,15.07372,14.56022
"V","Vehicle",12.16553,9.90172,10.09902
"V","Vehicle",20,14.44226,13.41641
"V","Vehicle",18,16.84499,16.49242
"V","Vehicle",16,13.45914,13.41641
"V","Vehicle",20.39608,11.38588,10.19804
"V","Vehicle",28,19.97036,22.36068
"V","Vehicle",32,24.70234,24.16609
"V","Vehicle",47.20169,35.78603,39.59798
"V","Vehicle",17.88854,10.5964,10
"V","Vehicle",14,12.39543,12
"V","Vehicle",28.28427,21.15495,22
"V","Vehicle",25.29822,20.78338,20
"V","Vehicle",34.23449,18.84795,16
"V","Vehicle",18,14.90928,16
"V","Vehicle",17.08801,12.06205,12
"V","Vehicle",26,20.41711,20
"V","Vehicle",22.80351,14.29361,14
"V","Vehicle",19.69772,14.50589,16
"V","Vehicle",18,15.35969,16.12452
"V","Vehicle",30,21.43112,22
"V","Vehicle",22,21.29625,22
"V","Vehicle",21.26029,14.47301,13.41641
"V","Vehicle",20.39608,17.25365,16
"V","Vehicle",22.80351,17.07506,17.08801
"V","Vehicle",18.43909,13.11241,13.41641
"V","Vehicle",12.80625,10.05992,10.77033
"V","Vehicle",24,18.86287,18.43909
"V","Vehicle",27.20294,12.80992,9.47214
"V","Vehicle",20,12.12662,10.09902
"V","Vehicle",41.61731,24.3759,21.26029
"V","Vehicle",15.23155,12.05577,12.72768
"V","Vehicle",22.36068,17.82645,20.39608
"V","Vehicle",19.69772,14.06925,14.14214
"V","Vehicle",10,8.55964,10
"V","Vehicle",11.31371,8.42488,8.36575
"V","Vehicle",18.43909,14.68824,14.4222
"V","Vehicle",44.72136,31.18832,31.62278
"V","Vehicle",16,11.18458,10
"V","Vehicle",23.32381,16.01589,16.12452
"V","Vehicle",30.26549,21.12194,22.80351
"V","Vehicle",46.17358,29.0553,29.12044
"V","Vehicle",24,21.33104,22.09072
"V","Vehicle",32,22.42725,22
"V","Vehicle",18.43909,10.68361,8.24621
"V","Vehicle",24.16609,21.19494,21.54066
"V","Vehicle",20,18.2,20
"V","Vehicle",33.52611,20.50737,22.36068
"V","Vehicle",21.63331,15.19163,16
"V","Vehicle",28.07134,22.26975,20.39608
"V","Vehicle",12.16553,9.19921,10
