"animal","treatment","TreatmentLong","day 1 body weight (g)","day 2 body weight (g)","day 3 body weight (g)","day 4 body weight (g)","body weight gain after 1 days (g)","body weight gain after 2 days (g)","body weight gain after 3 days (g)","body weight gain after 1 days (percent)","body weight gain after 2 days (percent)","body weight gain after 3 days (percent)","levator (mg)","tibialis (mg)","gastrocnemius (mg)","quadriceps (mg)","triceps (mg)","levator (permille)","tibialis (permille)","gastrocnemius (permille)","quadriceps (permille)","triceps (permille)","fat mass before (g)","lean mass before (g)","total water before (g)","fat mass after (g)","lean mass after (g)","total water after (g)","fat mass before (percent of BW)","lean mass before (percent of BW)","total water before (percent of BW)","fat mass after (percent of BW)","lean mass after (percent of BW)","total water after (percent of BW)","fat mass gain (g)","lean mass gain (g)","total water gain (g)","fat mass gain (percent of BW)","lean mass gain (percent of BW)","total water gain (percent of BW)","fat mass gain (percent)","lean mass gain (percent)","total water gain (percent)","gastrocnemius proteasome activity (rel.u.)","quadriceps proteasome activity (rel.u.)","triceps proteasome activity (rel.u.)","gastrocnemius cathepsin activity (rel.u.)","gastrocnemius calpain activity (rel.u.)","quadriceps calpain activity (rel.u.)","quadriceps cathepsin activity (rel.u.)","triceps cathepsin activity (rel.u.)","triceps calpain activity (rel.u.)","gastrocnemius Ct(Becn1) - Ct(Gapdh)","gastrocnemius Ct(Ctsl) - Ct(Gapdh)","gastrocnemius Ct(Ddit4) - Ct(Gapdh)","gastrocnemius Ct(Fbxo32) - Ct(Gapdh)","gastrocnemius Ct(Foxo1) - Ct(Gapdh)","gastrocnemius Ct(Foxo3) - Ct(Gapdh)","gastrocnemius Ct(Foxo4) - Ct(Gapdh)","gastrocnemius Ct(Igf1) - Ct(Gapdh)","gastrocnemius Ct(Igf1r) - Ct(Gapdh)","gastrocnemius Ct(Insr) - Ct(Gapdh)","gastrocnemius Ct(Klf15) - Ct(Gapdh)","gastrocnemius Ct(Map1lc3b) - Ct(Gapdh)","gastrocnemius Ct(Nr3c1) - Ct(Gapdh)","gastrocnemius Ct(Nr3c4) - Ct(Gapdh)","gastrocnemius Ct(Psma6) - Ct(Gapdh)","gastrocnemius Ct(Psmb10) - Ct(Gapdh)","gastrocnemius Ct(Psmd4) - Ct(Gapdh)","gastrocnemius Ct(Stk11) - Ct(Gapdh)","gastrocnemius Ct(Trim63) - Ct(Gapdh)","quadriceps Ct(Becn1) - Ct(Gapdh)","quadriceps Ct(Bnip3) - Ct(Gapdh)","quadriceps Ct(Ctsl) - Ct(Gapdh)","quadriceps Ct(Ddit4) - Ct(Gapdh)","quadriceps Ct(Fbxo32) - Ct(Gapdh)","quadriceps Ct(Foxo1) - Ct(Gapdh)","quadriceps Ct(Foxo3a) - Ct(Gapdh)","quadriceps Ct(Foxo4) - Ct(Gapdh)","quadriceps Ct(Igf1) - Ct(Gapdh)","quadriceps Ct(Igf1r) - Ct(Gapdh)","quadriceps Ct(Klf15) - Ct(Gapdh)","quadriceps Ct(Map1lc3b) - Ct(Gapdh)","quadriceps Ct(Nr3c1) - Ct(Gapdh)","quadriceps Ct(Odc) - Ct(Gapdh)","quadriceps Ct(Stk11) - Ct(Gapdh)","quadriceps Ct(Trim63) - Ct(Gapdh)","quadriceps Akt protein (normalized to GAPDH)","quadriceps eEF2 protein (normalized to GAPDH)","quadriceps phospho-eEF2 protein (normalized to GAPDH)","quadriceps phospho / total eEF2","quadriceps phospho-Foxo1/3 protein (normalized to GAPDH)","quadriceps MuRF1 protein (normalized to GAPDH)"
"X1","X","Vehicle for 3 days",25,25.8,25.3,26.1,0.800000000000001,0.300000000000001,1.1,3.2,1.2,4.40000000000001,62,51.55,149,195.3,97.85,2.37547892720307,1.97509578544061,5.7088122605364,7.48275862068966,3.74904214559387,2.318,21.408,15.921,2.716,21.926,17.01,9.272,85.632,63.684,10.4061302681992,84.007662835249,65.1724137931035,0.398,0.517999999999997,1.089,1.13413026819923,-1.62433716475097,1.48841379310346,17.1699741156169,2.41965620328848,6.84002261164501,9949.5,44741,6731.5,33198,15082.6,12289.05,36290,28014.5,12948,6.63995,6.4359,9.77315,4.8342,8.71855,9.46525,8.7898,7.3755,7.07275,4.723,5.83625,2.9502,6.262,3.8521,5.07905,9.7705,6.052,3.544,1.67955,6.75865,3.05925,4.1585,8.81455,3.64125,7.9436,8.8446,6.58195,8.2991,7.9929,6.1686,1.95785,2.83165,1.5854,5.51205,4.4546,0.660433460551642,0.442330513993669,0.395590707136699,0.894332845285823,0.365810425793083,0.156391686290401
"X2","X","Vehicle for 3 days",24,24,24.2,24.4,0,0.199999999999999,0.399999999999999,0,0.83333333333333,1.66666666666666,44.8,50.15,134.7,184.9,94.5,1.83606557377049,2.05532786885246,5.52049180327869,7.57786885245902,3.87295081967213,2.873,20.535,15.497,3.248,20.057,14.928,11.9708333333333,85.5625,64.5708333333333,13.3114754098361,82.2008196721312,61.1803278688525,0.375,-0.478000000000002,-0.568999999999999,1.34064207650273,-3.36168032786885,-3.39050546448087,13.0525583014271,-2.32773313854396,-3.67167838936568,11003,18181.5,11574.5,24818.5,12391.3,17184.85,32928,25589,15323.5,5.8445,5.5416,9.24355,4.12485,8.1105,8.35325,7.93925,6.80755,5.81415,3.8343,5.4259,2.03305,5.2826,3.202,4.2587,8.99785,5.2271,3.05135,0.84245,7.43895,4.1558,5.26885,10.12185,3.97535,9.0567,10.4732,7.73185,9.2002,9.19015,7.41355,3.05965,4.035,3.55195,6.7577,5.89565,0.648252978856464,0.245762726275965,0.656801766545742,2.67250358302188,0.398638285331688,0.117442428473221
"X3","X","Vehicle for 3 days",24.3,24.7,24.8,25.2,0.399999999999999,0.5,0.899999999999999,1.64609053497942,2.05761316872428,3.7037037037037,40.1,48.7,116.9,152.2,96.05,1.59126984126984,1.93253968253968,4.63888888888889,6.03968253968254,3.81150793650794,2.574,20.019,19.588,3.662,20.572,20.21,10.5925925925926,82.3827160493827,80.6090534979424,14.531746031746,81.6349206349206,80.1984126984127,1.088,0.553000000000001,0.622,3.93915343915344,-0.747795414462075,-0.410640799529702,42.2688422688423,2.76237574304411,3.1754135184807,10979.5,12915.5,3640.5,30532,18959.6,25003.45,36769.5,30341.5,11613.5,4.88455,4.2937,7.8267,3.0202,7.3321,7.18625,6.67595,6.3299,4.25925,2.6033,4.44895,0.609499999999997,4.16125,1.8366,2.9565,7.2229,3.876,1.7566,0.476599999999998,7.10945,3.8338,5.4645,9.2431,3.6216,8.9285,9.9156,7.0724,8.87185,8.82565,7.2365,2.435,3.4582,3.1349,6.2775,5.2818,0.102404581809442,0.516224657067578,1.34952581546415,2.61422192254464,0.363126601644187,0.482071213401775
"X4","X","Vehicle for 3 days",23.7,24.1,24.4,24.5,0.400000000000002,0.699999999999999,0.800000000000001,1.68776371308018,2.95358649789029,3.37552742616034,61.7,46.9,139.25,134.15,89,2.51836734693878,1.91428571428571,5.68367346938776,5.47551020408163,3.63265306122449,2.089,20.52,19.573,2.766,20.495,15.241,8.81434599156118,86.5822784810127,82.5864978902954,11.2897959183674,83.6530612244898,62.2081632653061,0.677,-0.0249999999999986,-4.332,2.47544992680617,-2.92921725652288,-20.3783346249892,32.4078506462422,-0.121832358674457,-22.1325295049303,7415.5,17603,4250.5,21221.5,13250.3,25723.45,32757.5,27465,11312.5,-1.6086,0.890799999999999,,-1.46775,,,,,,,,-4.6339,1.49755,,,,,,,6.8681,3.22205,4.788,7.95625,2.68875,7.8745,8.85625,6.1273,7.89125,8.06165,6.39765,2.00635,2.9095,1.4052,5.318,4.4531,0.470767972526388,0.480659404554408,1.02809815513179,2.13893277732677,0.231314326772437,0.339539770329362
"U1","U","0.7 mg/day Testosterone for 3 days",22.2,23.1,23.2,24,0.900000000000002,1,1.8,4.05405405405406,4.50450450450451,8.10810810810811,58.3,40.75,108.15,137,81.8,2.42916666666667,1.69791666666667,4.50625,5.70833333333333,3.40833333333333,1.765,19.618,14.33,2.832,20.237,14.974,7.95045045045045,88.3693693693694,64.5495495495496,11.8,84.3208333333333,62.3916666666667,1.067,0.619,0.644,3.84954954954955,-4.04853603603604,-2.15788288288288,60.4532577903683,3.15526557243348,4.49406838799721,19470,31399,16928.5,42490.5,12664.45,,45506.5,31046.5,9235,6.7664,7.36925,6.7232,5.56295,7.93355,8.18175,8.3205,7.0217,6.5548,4.35425,6.23485,2.5975,6.826,4.85285,5.5199,9.33615,6.6955,3.49065,1.2572,7.51695,4.5582,4.5619,7.6151,4.52235,7.2649,9.35625,5.89135,9.10025,8.4886,7.25165,2.7556,3.8699,2.25325,5.6568,3.77695,0.866074111329048,0.4393467776622,1.61634672580463,3.67897708139649,0.501122491466123,0.0690111371754708
"U2","U","0.7 mg/day Testosterone for 3 days",22.7,24.1,24.3,24.7,1.4,1.6,2,6.16740088105728,7.04845814977974,8.81057268722467,70.8,53.05,140.9,193.35,106.3,2.8663967611336,2.14777327935223,5.70445344129555,7.82793522267207,4.30364372469636,1.977,19.644,14.456,3.125,20.392,17.261,8.70925110132159,86.5374449339207,63.6828193832599,12.6518218623482,82.5587044534413,69.8825910931174,1.148,0.748000000000001,2.805,3.94257076102659,-3.9787404804794,6.1997717098575,58.0677794638341,3.80777845652617,19.4037078029884,26115.5,24066,10987.5,34583,13110.45,23189,39969,35389.5,19242.5,6.9284,6.5128,8.004,4.13175,8.2996,8.0379,8.4097,6.5631,6.8154,4.3812,5.9544,2.2845,6.1232,3.7087,4.37905,9.2809,6.11425,3.4747,0.38945,7.0787,3.68965,4.97305,8.84265,3.9565,8.814,10.18635,6.89155,9.25135,8.64385,7.4779,2.82315,3.5564,1.9105,6.46085,5.5768,0.781240171830318,0.505863492312299,0.809636956831916,1.6005048182684,0.581796155612952,0.193098225930593
"U3","U","0.7 mg/day Testosterone for 3 days",23.9,24.8,24.9,25.4,0.900000000000002,1,1.5,3.76569037656905,4.18410041841004,6.27615062761506,56.9,52.7,145.85,147.45,96.4,2.24015748031496,2.0748031496063,5.74212598425197,5.80511811023622,3.79527559055118,3.262,19.853,15.709,3.03,21.322,16.803,13.6485355648536,83.0669456066946,65.7280334728033,11.9291338582677,83.9448818897638,66.1535433070866,-0.232,1.469,1.094,-1.71940170658584,0.877936283069204,0.425509834283275,-7.11220110361742,7.39938548330226,6.96416067222612,10607,40548,17320,25535,21797.15,16326.5,35427.5,28451.5,22409,5.18965,5.50795,6.1867,3.13915,6.53575,6.6243,7.0062,6.03595,4.9706,3.10685,4.8828,-1.01295,5.197,1.9904,2.83,6.22145,4.4553,2.56535,-0.502849999999999,7.57665,4.0128,5.6193,7.34445,4.0302,8.12285,10.13055,7.31225,9.23565,8.86905,7.8889,3.0539,4.49215,1.40555,6.2432,5.7578,0.81563232620941,0.429448164205302,1.11583609124921,2.4655915862193,0.0928948509000304,0.198458230271234
"U4","U","0.7 mg/day Testosterone for 3 days",24.1,25.4,25.5,26.3,1.3,1.4,2.2,5.39419087136928,5.80912863070539,9.12863070539419,72.1,66.05,112,168.5,89.1,2.74144486692015,2.51140684410646,4.25855513307985,6.40684410646388,3.38783269961977,2.264,20.743,15.048,4.333,20.928,16.221,9.3941908713693,86.0705394190871,62.4398340248963,16.4752851711027,79.574144486692,61.6768060836502,2.069,0.185000000000002,1.173,7.08109429973337,-6.49639493239511,-0.763027941246072,91.386925795053,0.891867135901279,7.79505582137161,20192,31372,7569,31416,21103.65,19349.3,34779.5,30008.5,14094,,,,2.77809999999999,,,,,,,,,3.6594,,,,,,,6.43045,3.27395,4.88325,7.51085,3.17,7.5399,8.95265,6.06775,7.6375,8.1128,7.1598,2.17745,3.06565,0.510849999999998,5.1036,4.1039,0.5904009206983,0.452563229646731,1.22364862338257,2.43348310031215,0.386916697096313,0.315409207775262
"U5","U","0.7 mg/day Testosterone for 3 days",25.8,26.7,27.1,27.6,0.899999999999999,1.3,1.8,3.48837209302325,5.03875968992248,6.97674418604651,75.4,67.1,142.4,163.4,100,2.73188405797101,2.43115942028985,5.15942028985507,5.92028985507246,3.6231884057971,2.737,21.938,18.517,3.423,22.795,17.262,10.6085271317829,85.031007751938,71.7713178294574,12.4021739130435,82.5905797101449,62.5434782608696,0.686,0.857000000000003,-1.255,1.79364678126053,-2.44042804179305,-9.2278395685878,25.0639386189258,3.90646367034371,-6.77755575957228,13016,24003.5,8051,26599.5,20470.1,26462.45,30237.5,26816.5,12202,4.45425,5.1559,3.52475,1.9328,5.85895,6.2172,5.9552,6.42775,4.4053,1.99475,4.3778,-0.330800000000004,5.0622,1.5664,3.0301,6.82415,3.41685,1.64245,-2.14195,,,,,,,,,,,,,,,,,0.305310721118859,0.502838348548878,1.13640437032889,2.64619682897428,0.463641891160019,0.338100651196271
"G1","G","0.25 mg/day Dexamethasone for 3 days",22.7,23.6,23.3,23.7,0.900000000000002,0.600000000000001,1,3.96475770925111,2.64317180616741,4.40528634361234,27.8,37.4,107.9,142.45,81.45,1.17299578059072,1.57805907172996,4.55274261603376,6.01054852320675,3.43670886075949,3.096,18.285,19.096,4.381,16.72,12.233,13.6387665198238,80.5506607929516,84.1233480176211,18.4852320675106,70.5485232067511,51.6160337552743,1.285,-1.565,-6.863,4.84646554768676,-10.0021375862005,-32.5073142623469,41.5051679586563,-8.55892808312825,-35.9394637620444,14767.5,35886.5,19846.5,25555,15702.95,20595.3,14661.5,16108,25447,,,,,,,,,,,,,5.1527,,,,,,,6.98855,2.58535,4.35345,4.8886,0.9987,5.62065,7.57045,5.8854,10.30725,7.85995,5.53045,1.9111,4.1232,2.00975,5.71405,2.3842,0.705562644636397,0.339219271899193,0.98874427261098,2.91476444447062,0.473544942753117,0.118603468626171
