TC_plate,TC_well,Condition,TimeDays,CPM_in_100_uL_protein_depleted_medium,CPM_in_100_uL_cell_protein_extract,percentage_of_protein_depleted_medium_counted,percentage_of_cell_protein_extract_counted,CPM_ratio_protein_depleted_medium_over_cell_protein,CPM_ratio_protein_depleted_medium_over_total_observed_CPM,X_to_1_coeff_Ci_per_L_to_CPM_protein_depleted_medium,X_to_0_coeff_Ci_per_L_to_CPM_protein_depleted_medium,specific_activity_in_protein_depleted_medium_nanoCi_per_L,activity_in_protein_depleted_medium_picoCi,X_to_1_coeff_Ci_per_L_to_CPM_cell_protein_extract,X_to_0_coeff_Ci_per_L_to_CPM_cell_protein_extract,specific_activity_in_cell_protein_extract_nanoCi_per_L,activity_in_cell_protein_extract_picoCi,curie_ratio_protein_depleted_medium_over_cell_protein,curie_ratio_protein_depleted_medium_over_total_observed_CPM
17,1,DD,0,233,6421,0.181818182,0.666666667,0.133053003,0.117428755,66322046.11,21.95533141,3182.119385,477.3179078,110263860.3,464.2044674,54023.09985,8103.464978,0.05890294,0.055626382
17,2,DD,0,222,4779,0.181818182,0.666666667,0.170328521,0.145539067,66322046.11,21.95533141,3016.262017,452.4393026,110263860.3,464.2044674,39131.54793,5869.73219,0.077080059,0.071563909
17,3,DD,0,224,6753,0.181818182,0.666666667,0.121624957,0.108436386,66322046.11,21.95533141,3046.417902,456.9626854,110263860.3,464.2044674,57034.05919,8555.108879,0.053414012,0.050705621
17,4,DD,0,217,6675,0.181818182,0.666666667,0.119200999,0.106505444,66322046.11,21.95533141,2940.872305,441.1308457,110263860.3,464.2044674,56326.66513,8448.99977,0.052211014,0.049620288
17,5,DD,0,253,6901,0.181818182,0.666666667,0.134424963,0.118496125,66322046.11,21.95533141,3483.678236,522.5517354,110263860.3,464.2044674,58376.29408,8756.444112,0.059676249,0.056315548
17,6,DD,0,245,6388,0.181818182,0.666666667,0.140628261,0.123290178,66322046.11,21.95533141,3363.054696,504.4582043,110263860.3,464.2044674,53723.81775,8058.572663,0.062598952,0.058911174
17,7,D,0,191,6629,0.181818182,0.666666667,0.105646905,0.095552119,66322046.11,21.95533141,2548.845799,382.3268698,110263860.3,464.2044674,55909.48402,8386.422603,0.045588791,0.043601071
17,8,D,0,237,5937,0.181818182,0.666666667,0.146370221,0.127681458,66322046.11,21.95533141,3242.431155,486.3646733,110263860.3,464.2044674,49633.62901,7445.044351,0.065327304,0.061321346
17,9,D,0,214,6683,0.181818182,0.666666667,0.11741234,0.105075213,66322046.11,21.95533141,2895.638477,434.3457715,110263860.3,464.2044674,56399.21837,8459.882755,0.051341819,0.048834564
17,10,D,0,222,6687,0.181818182,0.666666667,0.121728727,0.108518864,66322046.11,21.95533141,3016.262017,452.4393026,110263860.3,464.2044674,56435.49499,8465.324248,0.053446187,0.050734615
17,11,D,0,215,6666,0.181818182,0.666666667,0.118261826,0.105755042,66322046.11,21.95533141,2910.71642,436.6074629,110263860.3,464.2044674,56245.04274,8436.756411,0.05175063,0.049204278
17,12,V,0,243,7127,0.181818182,0.666666667,0.125017539,0.111124969,66322046.11,21.95533141,3332.89881,499.9348216,110263860.3,464.2044674,60425.92303,9063.888455,0.055156771,0.052273532
17,13,DDT,0,237,6854,0.181818182,0.666666667,0.126787278,0.112521041,66322046.11,21.95533141,3242.431155,486.3646733,110263860.3,464.2044674,57950.04381,8692.506572,0.055952178,0.052987416
17,14,DDT,0,255,7001,0.181818182,0.666666667,0.13355235,0.11781754,66322046.11,21.95533141,3513.834121,527.0751181,110263860.3,464.2044674,59283.20955,8892.481432,0.059271995,0.055955407
17,15,DDT,0,198,5483,0.181818182,0.666666667,0.132409265,0.116927041,66322046.11,21.95533141,2654.391396,398.1587095,110263860.3,464.2044674,45516.2328,6827.43492,0.058317467,0.055103944
17,16,DDT,0,232,6734,0.181818182,0.666666667,0.126324126,0.112156104,66322046.11,21.95533141,3167.041443,475.0562164,110263860.3,464.2044674,56861.74526,8529.261788,0.055697225,0.052758712
