"treatment","sample","activity_in_100uL_TCA_soluble_cell_extract__CPM","activity_in_100uL_TCA_soluble_medium_extract__CPM","activity_in_100uL_TCA_insoluble_cell_extract__CPM","activity_in_100uL_TCA_insoluble_medium_extract__CPM","X1_coef_TCA_soluble_cell_extract__CPM_L_per_Ci","X0_coef_TCA_soluble_cell_extract__CPM_L_per_Ci","X1_coef_TCA_soluble_medium_extract__CPM_L_per_Ci","X0_coef_TCA_soluble_medium_extract__CPM_L_per_Ci","X1_coef_TCA_insoluble_cell_extract__CPM_L_per_Ci","X0_coef_TCA_insoluble_cell_extract__CPM_L_per_Ci","specific_activity_TCA_soluble_cell_extract__nCi_per_L","specific_activity_TCA_soluble_medium_extract__nCi_per_L","specific_activity_TCA_insoluble_cell_extract__nCi_per_L","specific_activity_TCA_insoluble_medium_extract__nCi_per_L","volume_TCA_soluble_cell_extract__mL","volume_TCA_soluble_medium_extract__mL","volume_TCA_insoluble_cell_extract__mL","volume_TCA_insoluble_medium_extract__mL","activity_TCA_soluble_cell_extract__pCi","activity_TCA_soluble_medium_extract__pCi","activity_TCA_insoluble_cell_extract__pCi","activity_TCA_insoluble_medium_extract__pCi","curie_ratio_protein_depleted_medium_over_cell_protein"
"V","Vehicle, well 1",25,179,3164,152,63662326.614953,10.205881985,56737199.6147062,15.0293098488,85540849.8980473,2.4898985476,232.3841870323,2890.0032300625,36959.0681553957,1747.8210893462,3,5.735,0.5,0.5,697.1525610969,16574.1685244083,18479.5340776978,873.9105446731,0.8968932038
"V","Vehicle, well 2",36,145,3455,206,63662327.614953,11.205881985,56737200.6147062,16.0293098488,85540850.8980473,3.4898985476,389.4629515427,2273.1239601866,40349.2607943089,2367.4080784369,3,5.735,0.5,0.5,1168.3888546282,13036.3659116699,20174.6303971544,1183.7040392184,0.6461761953
"V","Vehicle, well 3",33,155,4143,179,63662328.614953,12.205881985,56737201.6147062,17.0293098488,85540851.8980473,4.4898985476,326.6314391478,2431.7500021968,48380.5107106593,2040.0790684244,3,5.735,0.5,0.5,979.8943174433,13946.0862625984,24190.2553553297,1020.0395342122,0.576516703
"V","Vehicle, well 4",42,164,3542,248,63662329.614953,13.205881985,56737202.6147062,18.0293098488,85540852.8980473,5.4898985476,452.2944445978,2572.7509186955,41342.9371071086,2835.0208495283,3,5.735,0.5,0.5,1356.8833337935,14754.7265187189,20671.4685535543,1417.5104247642,0.7137725353
"V","Vehicle, well 5",42,168,3653,249,63662330.614953,14.205881985,56737203.6147062,19.0293098488,85540853.8980473,6.4898985476,436.5865614174,2625.6262321781,42628.8718814817,2835.020816386,3,5.735,0.5,0.5,1309.7596842522,15057.9664415411,21314.4359407408,1417.510408193,0.7064679771
"V","Vehicle, well 6",43,160,1715,250,63662331.614953,15.205881985,56737204.6147062,20.0293098488,85540854.8980473,7.4898985476,436.5865545596,2467.0001122142,19961.3401512939,2835.0207832437,3,5.735,0.5,0.5,1309.7596636787,14148.2456435484,9980.670075647,1417.5103916219,1.4175647062
"D","100 nM Dexa, well 1",25,196,1543,231,63662332.614953,16.205881985,56737205.6147062,21.0293098488,85540855.8980473,8.4898985476,138.1369116364,3083.8792333094,17938.9145145019,2601.2143450798,3,5.735,0.5,0.5,414.4107349093,17686.0474030296,8969.457257251,1300.6071725399,1.9718079808
"D","100 nM Dexa, well 2",33,186,1443,232,63662333.614953,17.205881985,56737206.6147062,22.0293098488,85540856.8980473,9.4898985476,248.0920368161,2890.0028735059,16758.1919732338,2601.2143146707,3,5.735,0.5,0.5,744.2761104483,16574.1664795565,8379.0959866169,1300.6071573354,1.978037548
"D","100 nM Dexa, well 3",22,172,1474,205,63662334.614953,18.205881985,56737207.6147062,23.0293098488,85540857.8980473,10.4898985476,59.5975318522,2625.6260470702,17108.9013766579,2273.8853248845,3,5.735,0.5,0.5,178.7925955566,15057.9653799474,8554.450688329,1136.9426624423,1.7602492467
"D","100 nM Dexa, well 4",21,155,2022,202,63662335.614953,19.205881985,56737208.6147062,24.0293098488,85540858.8980473,11.4898985476,28.1817812317,2308.3738757859,23503.5061297274,2227.1240189377,3,5.735,0.5,0.5,84.5453436951,13238.5241776319,11751.7530648637,1113.5620094688,1.1265148361
