Image Name,Name,X,Y,Height,Width,Signal,Total,Area,Bkgnd.,Max,Mean,Median,Min
20121004A_mucalpain1_90ug_gastrocnemius_7dDT_20120824_v1_v2_v3_d1_d2_d3_t1_t2_t3_dt1_dt2_dt3_OR_v4_v5_v6_d4_d5_d6_t4_t5_t6_dt4_dt5.tif,mucalpain_gastrocnemius_d1,307,703,110,58,-7.4024E+4,7.0434E+5,6380,1.2200E+2,1.3700E+2,1.1040E+2,1.1700E+2,4.5000E+1
20121004A_mucalpain1_90ug_gastrocnemius_7dDT_20120824_v1_v2_v3_d1_d2_d3_t1_t2_t3_dt1_dt2_dt3_OR_v4_v5_v6_d4_d5_d6_t4_t5_t6_dt4_dt5.tif,mucalpain_gastrocnemius_d2,367,701,110,60,-3.6939E+4,7.6826E+5,6600,1.2200E+2,1.3800E+2,1.1640E+2,1.1800E+2,7.9000E+1
20121004A_mucalpain1_90ug_gastrocnemius_7dDT_20120824_v1_v2_v3_d1_d2_d3_t1_t2_t3_dt1_dt2_dt3_OR_v4_v5_v6_d4_d5_d6_t4_t5_t6_dt4_dt5.tif,mucalpain_gastrocnemius_d3,426,703,110,60,-6.8023E+4,7.3058E+5,6600,1.2100E+2,1.3700E+2,1.1069E+2,1.1700E+2,4.4000E+1
20121004A_mucalpain1_90ug_gastrocnemius_7dDT_20120824_v1_v2_v3_d1_d2_d3_t1_t2_t3_dt1_dt2_dt3_OR_v4_v5_v6_d4_d5_d6_t4_t5_t6_dt4_dt5.tif,mucalpain_gastrocnemius_d4,320,1388,110,60,-9.4337E+4,7.1086E+5,6600,1.2200E+2,1.3900E+2,1.0771E+2,1.1700E+2,2.4000E+1
20121004A_mucalpain1_90ug_gastrocnemius_7dDT_20120824_v1_v2_v3_d1_d2_d3_t1_t2_t3_dt1_dt2_dt3_OR_v4_v5_v6_d4_d5_d6_t4_t5_t6_dt4_dt5.tif,mucalpain_gastrocnemius_d5,380,1389,110,60,-7.5623E+4,7.3618E+5,6600,1.2300E+2,1.5900E+2,1.1154E+2,1.1700E+2,4.4000E+1
20121004A_mucalpain1_90ug_gastrocnemius_7dDT_20120824_v1_v2_v3_d1_d2_d3_t1_t2_t3_dt1_dt2_dt3_OR_v4_v5_v6_d4_d5_d6_t4_t5_t6_dt4_dt5.tif,mucalpain_gastrocnemius_d6,440,1387,110,60,-1.3765E+5,6.6095E+5,6600,1.2100E+2,1.3400E+2,1.0014E+2,1.1200E+2,7.0000E+0
20121004A_mucalpain1_90ug_gastrocnemius_7dDT_20120824_v1_v2_v3_d1_d2_d3_t1_t2_t3_dt1_dt2_dt3_OR_v4_v5_v6_d4_d5_d6_t4_t5_t6_dt4_dt5.tif,mucalpain_gastrocnemius_dt1,671,704,110,60,-4.0080E+4,7.5852E+5,6600,1.2100E+2,1.3800E+2,1.1493E+2,1.1800E+2,0.0000E+0
20121004A_mucalpain1_90ug_gastrocnemius_7dDT_20120824_v1_v2_v3_d1_d2_d3_t1_t2_t3_dt1_dt2_dt3_OR_v4_v5_v6_d4_d5_d6_t4_t5_t6_dt4_dt5.tif,mucalpain_gastrocnemius_dt2,731,704,110,60,-7.7430E+4,7.1457E+5,6600,1.2000E+2,1.7500E+2,1.0827E+2,1.1700E+2,1.6000E+1
20121004A_mucalpain1_90ug_gastrocnemius_7dDT_20120824_v1_v2_v3_d1_d2_d3_t1_t2_t3_dt1_dt2_dt3_OR_v4_v5_v6_d4_d5_d6_t4_t5_t6_dt4_dt5.tif,mucalpain_gastrocnemius_dt3,792,714,110,66,-4.8095E+4,8.3763E+5,7260,1.2200E+2,1.3900E+2,1.1538E+2,1.2000E+2,5.5000E+1
20121004A_mucalpain1_90ug_gastrocnemius_7dDT_20120824_v1_v2_v3_d1_d2_d3_t1_t2_t3_dt1_dt2_dt3_OR_v4_v5_v6_d4_d5_d6_t4_t5_t6_dt4_dt5.tif,mucalpain_gastrocnemius_dt4,683,1380,110,60,-8.5618E+4,7.0638E+5,6600,1.2000E+2,1.4300E+2,1.0703E+2,1.1400E+2,3.5000E+1
